"","Sample_ID","host","site","habitat","position","number","latitude","longitude","elevation","pH","sample_type","SID"
"Fungi_JB11_2","Fungi_JB11_2","Rhododendron spp.","Ofukasawa","Forest edge",11,2,38.811329,140.712776,532,2.65,"Root","JB11"
"Fungi_JB11_3","Fungi_JB11_3","Rhododendron spp.","Ofukasawa","Forest edge",11,3,38.811329,140.712776,532,2.65,"Root","JB11"
"Fungi_JB11_4","Fungi_JB11_4","Rhododendron spp.","Ofukasawa","Forest edge",11,4,38.811329,140.712776,532,2.65,"Root","JB11"
"Fungi_JB12_1","Fungi_JB12_1","Rhododendron spp.","Ofukasawa","Forest edge",12,1,38.811347,140.712703,534,2.7,"Root","JB12"
"Fungi_JB12_2","Fungi_JB12_2","Enkianthus campanulatus","Ofukasawa","Forest edge",12,2,38.811347,140.712703,534,2.7,"Root","JB12"
"Fungi_JB12_4","Fungi_JB12_4","Vaccinium smallii","Ofukasawa","Forest edge",12,4,38.811347,140.712703,534,2.7,"Root","JB12"
"Fungi_JB12_5","Fungi_JB12_5","Pinus parviflora","Ofukasawa","Forest edge",12,5,38.811347,140.712703,534,2.7,"Root","JB12"
"Fungi_JB13_3","Fungi_JB13_3","Vaccinium smallii","Ofukasawa","Forest edge",13,3,38.811336,140.712703,534,2.72,"Root","JB13"
"Fungi_JB14_1","Fungi_JB14_1","Pinus parviflora","Ofukasawa","Forest edge",14,1,38.811359,140.71267,539,2.91,"Root","JB14"
"Fungi_JB15_1","Fungi_JB15_1","Pinus parviflora","Ofukasawa","Forest edge",15,1,38.811345,140.712607,537,2.84,"Root","JB15"
"Fungi_JB15_2","Fungi_JB15_2","Enkianthus campanulatus","Ofukasawa","Forest edge",15,2,38.811345,140.712607,537,2.84,"Root","JB15"
"Fungi_JB15_3","Fungi_JB15_3","Rhododendron spp.","Ofukasawa","Forest edge",15,3,38.811345,140.712607,537,2.84,"Root","JB15"
"Fungi_JB3_1","Fungi_JB3_1","Vaccinium smallii","Ofukasawa","Forest edge",3,1,38.811455,140.71317,528,2.9,"Root","JB3"
"Fungi_JB4_1","Fungi_JB4_1","Pinus parviflora","Ofukasawa","Forest edge",4,1,38.81143,140.713184,528,2.64,"Root","JB4"
"Fungi_JB5_1","Fungi_JB5_1","Rhododendron spp.","Ofukasawa","Forest edge",5,1,38.811453,140.713088,529,2.96,"Root","JB5"
"Fungi_JB6_1","Fungi_JB6_1","Pinus parviflora","Ofukasawa","Forest edge",6,1,38.81137,140.713013,529,2.65,"Root","JB6"
"Fungi_JB7_1","Fungi_JB7_1","Pinus parviflora","Ofukasawa","Forest edge",7,1,38.811468,140.713025,530,2.75,"Root","JB7"
"Fungi_JB7_2","Fungi_JB7_2","Vaccinium smallii","Ofukasawa","Forest edge",7,2,38.811468,140.713025,530,2.75,"Root","JB7"
"Fungi_JB8_2","Fungi_JB8_2","Vaccinium smallii","Ofukasawa","Forest edge",8,2,38.811425,140.712983,530,2.85,"Root","JB8"
"Fungi_JB9_1","Fungi_JB9_1","Eubotryoides grayana","Ofukasawa","Forest edge",9,1,38.811446,140.712898,534,2.64,"Root","JB9"
"Fungi_JB9_3","Fungi_JB9_3","Vaccinium smallii","Ofukasawa","Forest edge",9,3,38.811446,140.712898,534,2.64,"Root","JB9"
"Fungi_JB9_4","Fungi_JB9_4","Pinus parviflora","Ofukasawa","Forest edge",9,4,38.811446,140.712898,534,2.64,"Root","JB9"
